controller,time_s,tilt_rad,tilt_deg,tilt_rate_rad_s,tilt_rate_deg_s,x_m,x_dot_m_s,command_accel_m_s2,command_motor_rpm,target_tilt_deg,kp,ki,kd,expert_balance,expert_recovery,expert_drift
PID normal,0.19000000000000009,0.060551948409913875,3.4693710851819612,-0.5726294979076925,-32.80925345480618,0.026278517556085804,0.24891271696819695,0.7763246087705311,21.803982164066785,-5.262593518902575,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.1950000000000001,0.05766816374889034,3.304142395080748,-0.5811074950878944,-33.29500691195557,0.027532628832430784,0.2527316344482324,0.7395987478221895,20.772493521260756,-5.352110218744122,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.2000000000000001,0.05474299113223934,3.1365423497994063,-0.5891879502948978,-33.75798289186137,0.028805373274543265,0.2563659909652377,0.702380066887776,19.727163454306876,-5.438117989416438,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.2050000000000001,0.0517784292958066,2.9666854684662574,-0.5968662990091878,-34.19791986681989,0.030095822033212583,0.2598133688617431,0.6646920114787904,18.66865045774312,-5.520558768925131,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.2100000000000001,0.0487764993194146,2.7946875504251887,-0.6041381667331283,-34.61456719657908,0.03140303446549611,0.26307146829752287,0.6265584305374248,17.597624356929018,-5.5993767362950155,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.2150000000000001,0.0457392436453858,2.6206656190011763,-0.6109993816062845,-35.00768585114333,0.0327260587287743,0.26613810923704606,0.5880035457130091,16.514765445138817,-5.674518357552129,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.2200000000000001,0.042668725036681544,2.444737861806041,-0.617445985946462,-35.37704907202622,0.03406393238435775,0.26901123328283194,0.5490519215351521,15.42076364583934,-5.745932428714109,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.22500000000000012,0.039567025479912185,2.267023567885559,-0.6234742467624672,-35.7224429745874,0.03541568300988709,0.27168890535923124,0.5097284364703984,14.316317699782424,-5.813570115871768,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.23000000000000012,0.036436245038249875,2.0876430619962045,-0.6290806652822016,-36.043667093952166,0.03678032881978892,0.2741693152510881,0.470058254851345,13.202134376601434,-5.877384992443599,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.23500000000000013,0.03327850065906272,1.9067176362876221,-0.6342619855376578,-36.34053487689545,0.03815687929307331,0.27645077900168064,0.4300667996686507,12.078927710643116,-5.937333073684029,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.24000000000000013,0.030095924940885484,1.7243694796552498,-0.6390152020466572,-36.61287412197302,0.03954433580778002,0.27853174017428856,0.38977972621737833,10.947418260794363,-5.993372848525502,13.5,0.25,2.25,1.0,0.0,0.0
PID normal,0.24500000000000013,0.02689066486414656,1.5407216050163313,-0.6433375666297189,-36.86052737009928,0.040941692281402355,0.2804107709816943,0.34922289658955674,9.808332394076075,-6.045465308833788,13.5,0.25,2.25,1.0,0.0,0.0
